organization_id,count
AZ101,61
TX46,40
IA260,25
TX236,21
IN113,20
CA912,19
IN427,19
TX993,17
MO179,17
NV26,17
CA1534,16
TX1218,16
FL273,15
GA926,15
FL546,15
CA2686,14
MO286,13
IL157,13
FL852,13
CO324,13
TX198,13
UT28,13
CA803,12
TX309,12
CO125,12
CO441,12
PA110,12
AL09,11
NC1192,11
TX487,11
TN344,11
NC500,11
MS26,11
TX677,11
OK467,11
CA595,11
CO27,11
CA440,10
AZ20,10
OR07,10
CO573,10
NC488,10
TN51,10
MI1134,10
FL1828,10
OK204,10
SC497,10
FL367,9
TX2269,9
TX2579,9
NV188,9
KS47,9
CA216,9
AZ599,9
TN53,9
CA765,9
WA728,9
CA387,9
MI812,9
CO91,9
BC296,8
NC1227,8
PA339,8
NJ980,8
WV28,8
FL286,8
TN172,8
NC590,8
NC448,8
VA202,8
WI264,8
CA766,8
GA960,8
SC38,8
QC06,8
TX2549,7
FL1626,7
IL913,7
NJ376,7
TX2761,7
WI507,7
IN24,7
NY33,7
OH317,7
TX2575,7
MN241,7
MI1108,7
GA70,7
TX1317,7
CA24,7
CA257,7
WI53,7
MA515,7
CA30,7
CA1902,7
NY1183,7
MO228,7
KS64,7
OH160,6
IN480,6
NM13,6
OR79,6
WA119,6
MD247,6
TX54,6
VT85,6
MA131,6
FL279,6
TX2679,6
FL464,6
VA96,6
CA2867,6
WI111,6
TX359,6
FL1770,6
IA208,6
FL205,6
MD423,6
MO208,6
IL976,6
KY167,6
NC119,6
GA830,5
MS09,5
NY341,5
MI340,5
MN507,5
CA3092,5
IA04,5
FL761,5
TN478,5
VA894,5
IN85,5
MS62,5
ID100,5
MS125,5
GA973,5
NM41,5
CA190,5
NM137,5
NJ620,5
TN25,5
FL233,5
TX1633,5
FL216,4
TX2483,4
IL889,4
FL787,4
IL192,4
NY1488,4
MN34,4
NY1447,4
OH1232,4
WI551,4
NV36,4
AZ723,4
TN147,4
AZ779,4
IL274,4
MN289,4
TN325,4
FL252,4
AZ103,4
AB142,4
VA629,4
LA449,4
MT85,4
AZ110,4
GA247,4
FL1223,4
SC592,4
CA2430,4
CO512,4
RI79,4
FL758,4
CA674,4
IN46,4
CO327,4
TX2471,4
TN268,4
ON580,4
TX2260,4
MT74,4
IN190,4
GA461,3
SC572,3
GA18,3
NY12,3
FL312,3
MI998,3
OH82,3
WA70,3
NM59,3
FL304,3
KS277,3
IA36,3
ON525,3
PA235,3
LA368,3
MO121,3
IA269,3
AZ453,3
CA2483,3
GA26,3
VA174,3
VA596,3
SC300,3
FL806,3
MS206,3
IA60,3
CA2099,3
MD477,3
NJ833,3
WI523,3
TX959,3
CT625,3
MO678,3
AR370,3
WA650,3
AZ655,3
WI86,3
FL1500,3
WA07,3
IL868,3
CA764,3
FL364,3
NE73,3
FL275,3
CA542,3
VA698,3
AR50,3
CA2903,3
CA1750,3
KY368,3
KY102,3
CA1727,3
CA348,3
IL559,3
MO122,3
CA2246,3
TX1918,3
VA276,3
PA1015,3
OR138,3
NJ763,3
FL221,3
NV187,3
AL43,3
GA423,3
KY216,3
TX1475,3
TX903,3
NY187,3
MS24,3
MI470,3
MN444,3
TX988,3
GA319,3
IA14,3
ME03,3
FL1892,3
NJ181,3
IN02,3
NC1018,3
TX2562,3
OH1281,3
TN360,3
GA562,3
MI296,3
IL1014,3
CT571,3
NY1379,3
TX38,3
IN430,3
FL1399,3
CA894,3
KY463,3
KY523,3
AZ313,3
SC417,3
VA850,2
NC371,2
CA1721,2
RI23,2
OH1339,2
OK480,2
TX2305,2
BC93,2
WV46,2
GA335,2
TX571,2
NY359,2
NH31,2
WV13,2
NE19,2
NY868,2
CA3100,2
FL170,2
GA612,2
IL958,2
UT117,2
TX252,2
CA960,2
VA492,2
TX2018,2
TN61,2
MA243,2
IL173,2
ID49,2
VA126,2
OH177,2
TX112,2
VA176,2
TX729,2
CT31,2
CA117,2
WA7,2
AK04,2
AL432,2
MN491,2
NY275,2
CO34,2
IN91,2
KY105,2
KY422,2
NY494,2
WA617,2
AL211,2
VA219,2
IN171,2
SC42,2
NJ53,2
NY1262,2
MA147,2
CA2515,2
TX1528,2
CA2713,2
MI85,2
AR372,2
CA2453,2
NJ736,2
VA797,2
MD492,2
NC941,2
AZ89,2
CA1571,2
IL885,2
OR177,2
NY1570,2
VA29,2
NY1398,2
AB74,2
IL507,2
MN351,2
PA1144,2
FL1814,2
VA877,2
OR141,2
TN807,2
IN667,2
TN1015,2
ID04,2
GA959,2
TX851,2
TN794,2
KY481,2
FL1383,2
VA75,2
FL611,2
IN287,2
OH771,2
NC1007,2
ID155,2
NC1066,2
NY1463,2
FL707,2
NY08,2
CA1110,2
AZ57,2
TX403,2
SC594,2
GA50,2
MO486,2
LA130,2
WA02,2
MD454,2
FL1810,2
TX1135,2
CA559,2
NC16,2
NY1417,2
OK333,2
GA244,2
CA2390,2
DC28,2
ON578,1
GA52,1
OH1122,1
PA86,1
MN441,1
OH166,1
KY269,1
FL69,1
AB150,1
