,id,organization_id,state,name,type,age,gender,size,url
0,70490327,TX2305,TX,Davon,Dog,Adult,Male,Large,https://www.petfinder.com/dog/davon-70490327/or/woodburn/throw-a-dog-a-bone-dog-rescue-tx2305/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
1,70490328,MO486,MO,Mack,Dog,Adult,Female,Extra Large,https://www.petfinder.com/dog/mack-70490328/mo/st-louis/wonder-weims-rescue-mo486/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
2,70490326,MI812,MI,Lahni! DNA tested! ,Dog,Adult,Female,Large,https://www.petfinder.com/dog/lahni-dna-tested-70490326/mi/eastpointe/misfit-angels-dog-rescue-mi812/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
3,70490283,MS214,MS,Jughead Jones,Dog,Baby,Male,Large,https://www.petfinder.com/dog/jughead-jones-70490283/ms/baldwyn/jericho-rescued-fur-babies-ms214/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
4,70490324,AZ57,AZ,Mona,Dog,Young,Female,Large,https://www.petfinder.com/dog/mona-70490324/nm/albuquerque/blackhat-humane-society-az57/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
5,70490322,WA02,WA,Lilith,Cat,Young,Female,Medium,https://www.petfinder.com/cat/lilith-70490322/wa/pasco/pet-over-population-prevention-popp-wa02/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
6,70490321,NC516,NC,Toby,Dog,Adult,Male,Large,https://www.petfinder.com/dog/toby-70490321/nc/waxhaw/carolina-pet-adoption-and-welfare-society-paws-nc516/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
7,70490319,CA1750,CA,Angelica Litter,Dog,Baby,Male,Small,https://www.petfinder.com/dog/angelica-litter-70490319/ca/inglewood/the-lovejoy-foundation-inc-dot-facility-clubhouse-ca1750/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
8,70490318,TN147,TN,Dot,Cat,Young,Female,Medium,https://www.petfinder.com/cat/dot-70490318/tn/memphis/mewtopia-cat-rescue-tn147/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
9,70490315,CA2373,CA,Diamond,Dog,Young,Female,Small,https://www.petfinder.com/dog/diamond-70490315/ca/citrus-heights/norcal-bully-breed-rescue-ca2373/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
10,70490316,TX2584,TX,Ollie,Dog,Baby,Male,Large,https://www.petfinder.com/dog/ollie-70490316/tx/humble/rescue-texas-tx2584/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
11,70490314,CT142,CT,Marshall ,Dog,Young,Male,Large,https://www.petfinder.com/dog/marshall-70490314/ct/mansfield-center/cats-northeast-inc-ct142/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
12,70490313,CA2686,CA,Bobbi,Dog,Baby,Female,Large,https://www.petfinder.com/dog/bobbi-70490313/az/mesa/alljoy4paws-inc-ca2686/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
13,70490309,GA50,GA,SHILOH,Dog,Adult,Male,Extra Large,https://www.petfinder.com/dog/shiloh-70490309/ga/marietta/friends-of-shelter-animals-for-cobb-county-ga50/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
14,70490305,QC41,QC,Lolo et Ludwig,Cat,Baby,Male,Medium,https://www.petfinder.com/cat/lolo-et-ludwig-70490305/qc/sainte-angele-de-monnoir/spca-monteregie-qc41/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
15,70490301,CA2686,CA,Dolly,Dog,Baby,Female,Large,https://www.petfinder.com/dog/dolly-70490301/ca/rancho-cucamonga/alljoy4paws-inc-ca2686/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
16,70490300,TN147,TN,Yoshi,Cat,Young,Male,Medium,https://www.petfinder.com/cat/yoshi-70490300/tn/memphis/mewtopia-cat-rescue-tn147/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
17,70490295,WA02,WA,Leia,Cat,Adult,Female,Medium,https://www.petfinder.com/cat/leia-70490295/wa/pasco/pet-over-population-prevention-popp-wa02/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
18,70490293,WA727,WA,Lucky,Dog,Young,Male,Large,https://www.petfinder.com/dog/lucky-70490293/wa/oroville/fur-ever-yours-dog-rescue-wa727/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
19,70490287,TN147,TN,Miss Kitty,Cat,Adult,Female,Medium,https://www.petfinder.com/cat/miss-kitty-70490287/tn/memphis/mewtopia-cat-rescue-tn147/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
20,70490284,TX993,TX,Alani,Cat,Young,Female,Small,https://www.petfinder.com/cat/alani-70490284/tx/georgetown/williamson-county-regional-animal-shelter-tx993/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
21,70490280,CA2686,CA,Patsy,Dog,Baby,Female,Large,https://www.petfinder.com/dog/patsy-70490280/ca/fontana/alljoy4paws-inc-ca2686/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
22,70490273,TX993,TX,Andre,Cat,Young,Male,Small,https://www.petfinder.com/cat/andre-70490273/tx/georgetown/williamson-county-regional-animal-shelter-tx993/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
23,70488477,TX2467,TX,Pepsi,Dog,Adult,Female,Large,https://www.petfinder.com/dog/pepsi-70488477/tx/houston/waiting-under-the-willow-foundation-wuwf-rescue-tx2467/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
