,Unnamed: 0,id,organization_id,name,type,age,gender,size,url,city,state,zip code,country
0,0.0,70490327.0,TX2305,Davon,Dog,Adult,Male,Large,https://www.petfinder.com/dog/davon-70490327/or/woodburn/throw-a-dog-a-bone-dog-rescue-tx2305/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Woodburn, OR, 97071, US
1,1.0,70490328.0,MO486,Mack,Dog,Adult,Female,Extra Large,https://www.petfinder.com/dog/mack-70490328/mo/st-louis/wonder-weims-rescue-mo486/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, St. Louis, MO, 63129, US
2,2.0,70490326.0,MI812,Lahni! DNA tested! ,Dog,Adult,Female,Large,https://www.petfinder.com/dog/lahni-dna-tested-70490326/mi/eastpointe/misfit-angels-dog-rescue-mi812/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Eastpointe, MI, 48021, US
3,3.0,70490283.0,MS214,Jughead Jones,Dog,Baby,Male,Large,https://www.petfinder.com/dog/jughead-jones-70490283/ms/baldwyn/jericho-rescued-fur-babies-ms214/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Baldwyn, MS, 38824, US
4,4.0,70490324.0,AZ57,Mona,Dog,Young,Female,Large,https://www.petfinder.com/dog/mona-70490324/nm/albuquerque/blackhat-humane-society-az57/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Albuquerque, NM, 87107, US
6,6.0,70490322.0,WA02,Lilith,Cat,Young,Female,Medium,https://www.petfinder.com/cat/lilith-70490322/wa/pasco/pet-over-population-prevention-popp-wa02/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Waxhaw, NC, 28173, US
7,7.0,70490321.0,NC516,Toby,Dog,Adult,Male,Large,https://www.petfinder.com/dog/toby-70490321/nc/waxhaw/carolina-pet-adoption-and-welfare-society-paws-nc516/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Inglewood, CA, 90301, US
8,8.0,70490319.0,CA1750,Angelica Litter,Dog,Baby,Male,Small,https://www.petfinder.com/dog/angelica-litter-70490319/ca/inglewood/the-lovejoy-foundation-inc-dot-facility-clubhouse-ca1750/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Memphis, TN, 38119, US
9,9.0,70490318.0,TN147,Dot,Cat,Young,Female,Medium,https://www.petfinder.com/cat/dot-70490318/tn/memphis/mewtopia-cat-rescue-tn147/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Citrus Heights, CA, 95610, US
10,10.0,70490315.0,CA2373,Diamond,Dog,Young,Female,Small,https://www.petfinder.com/dog/diamond-70490315/ca/citrus-heights/norcal-bully-breed-rescue-ca2373/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Humble, TX, 77396, US
11,11.0,70490316.0,TX2584,Ollie,Dog,Baby,Male,Large,https://www.petfinder.com/dog/ollie-70490316/tx/humble/rescue-texas-tx2584/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Mansfield Center, CT, 06250, US
12,12.0,70490314.0,CT142,Marshall ,Dog,Young,Male,Large,https://www.petfinder.com/dog/marshall-70490314/ct/mansfield-center/cats-northeast-inc-ct142/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Mesa, AZ, 85206, US
