,id,organization_id,name,type,age,gender,size,contact,url
0,70490327,TX2305,Davon,Dog,Adult,Male,Large,"{'email': 'rescue@throwadogabone.org', 'phone': None, 'address': {'address1': None, 'address2': None, 'city': 'Woodburn', 'state': 'OR', 'postcode': '97071', 'country': 'US'}}",https://www.petfinder.com/dog/davon-70490327/or/woodburn/throw-a-dog-a-bone-dog-rescue-tx2305/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
1,70490328,MO486,Mack,Dog,Adult,Female,Extra Large,"{'email': 'wonderweimsrescue@gmail.com', 'phone': None, 'address': {'address1': None, 'address2': None, 'city': 'St. Louis', 'state': 'MO', 'postcode': '63129', 'country': 'US'}}",https://www.petfinder.com/dog/mack-70490328/mo/st-louis/wonder-weims-rescue-mo486/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
2,70490326,MI812,Lahni! DNA tested! ,Dog,Adult,Female,Large,"{'email': 'misfitangels@gmail.com', 'phone': '(586) 339-5443', 'address': {'address1': None, 'address2': None, 'city': 'Eastpointe', 'state': 'MI', 'postcode': '48021', 'country': 'US'}}",https://www.petfinder.com/dog/lahni-dna-tested-70490326/mi/eastpointe/misfit-angels-dog-rescue-mi812/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
3,70490283,MS214,Jughead Jones,Dog,Baby,Male,Large,"{'email': 'myjerichorfb@gmail.com', 'phone': '(662) 401-5799', 'address': {'address1': None, 'address2': None, 'city': 'Baldwyn', 'state': 'MS', 'postcode': '38824', 'country': 'US'}}",https://www.petfinder.com/dog/jughead-jones-70490283/ms/baldwyn/jericho-rescued-fur-babies-ms214/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
4,70490324,AZ57,Mona,Dog,Young,Female,Large,"{'email': 'blackhathumane@gmail.com', 'phone': '(575) 999-6236', 'address': {'address1': None, 'address2': None, 'city': 'Albuquerque', 'state': 'NM', 'postcode': '87107', 'country': 'US'}}",https://www.petfinder.com/dog/mona-70490324/nm/albuquerque/blackhat-humane-society-az57/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
5,70490323,AZ57,Mona,Dog,Young,Female,Large,"{'email': 'blackhathumane@gmail.com', 'phone': '(575) 999-6236', 'address': {'address1': None, 'address2': None, 'city': 'Durango', 'state': 'CO', 'postcode': '81301', 'country': 'US'}}",https://www.petfinder.com/dog/mona-70490323/co/durango/blackhat-humane-society-az57/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
6,70490322,WA02,Lilith,Cat,Young,Female,Medium,"{'email': 'catsadopt@popptricities.org', 'phone': None, 'address': {'address1': None, 'address2': None, 'city': 'Pasco', 'state': 'WA', 'postcode': '99301', 'country': 'US'}}",https://www.petfinder.com/cat/lilith-70490322/wa/pasco/pet-over-population-prevention-popp-wa02/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
7,70490321,NC516,Toby,Dog,Adult,Male,Large,"{'email': 'adopt@carolinapaws.com', 'phone': None, 'address': {'address1': 'P.O. Box 365', 'address2': None, 'city': 'Waxhaw', 'state': 'NC', 'postcode': '28173', 'country': 'US'}}",https://www.petfinder.com/dog/toby-70490321/nc/waxhaw/carolina-pet-adoption-and-welfare-society-paws-nc516/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
8,70490319,CA1750,Angelica Litter,Dog,Baby,Male,Small,"{'email': 'application@lovejoyfoundation.org', 'phone': '(310) 719-5707', 'address': {'address1': '1121 West Hillcrest Blvd.', 'address2': None, 'city': 'Inglewood', 'state': 'CA', 'postcode': '90301', 'country': 'US'}}",https://www.petfinder.com/dog/angelica-litter-70490319/ca/inglewood/the-lovejoy-foundation-inc-dot-facility-clubhouse-ca1750/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
9,70490318,TN147,Dot,Cat,Young,Female,Medium,"{'email': 'mewtopia1@yahoo.com', 'phone': '901-503-9328 ', 'address': {'address1': '1010 S. Yates', 'address2': None, 'city': 'Memphis', 'state': 'TN', 'postcode': '38119', 'country': 'US'}}",https://www.petfinder.com/cat/dot-70490318/tn/memphis/mewtopia-cat-rescue-tn147/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
